subject,trial_index,trialIndex,sentence,image,trialType,isMatch,rt_sent,rt_img,hit,list,time_elapsed,correct_response,response
0zhjr0hs,60,30,"<div style=""font-size: 30px;"">There was a tissue in the trashcan.</div>","<img src=""Images/tissuecrumpled.jpg""/>",experimental,y,398,478,true,list_2,96999,y,y
0zhjr0hs,63,35,"<div style=""font-size: 30px;"">There was fish in the oven.</div>","<img src=""Images/fish.jpg""/>",experimental,n,517,467,true,list_2,98756,y,y
0zhjr0hs,66,97,"<div style=""font-size: 30px;"">There was a pyramid by the museum.</div>","<img src=""Images/couch.jpg""/>",filler,,501,429,true,list_2,100459,n,n
0zhjr0hs,69,120,"<div style=""font-size: 30px;"">There was a cottage in the valley.</div>","<img src=""Images/candy.jpg""/>",filler,,262,468,true,list_2,101959,n,n
0zhjr0hs,72,98,"<div style=""font-size: 30px;"">There was milk in the jar.</div>","<img src=""Images/strawberry.jpg""/>",filler,,312,447,true,list_2,103490,n,n
0zhjr0hs,75,107,"<div style=""font-size: 30px;"">There was a mouse in the trap.</div>","<img src=""Images/wateringcan.jpg""/>",filler,,310,989,true,list_2,105571,n,n
0zhjr0hs,78,43,"<div style=""font-size: 30px;"">There was bread in the toaster.</div>","<img src=""Images/breadloaf.jpg""/>",experimental,n,283,586,true,list_2,107203,y,y
0zhjr0hs,81,91,"<div style=""font-size: 30px;"">There was football in the stadium.</div>","<img src=""Images/apartment.jpg""/>",filler,,305,427,true,list_2,108705,n,n
0zhjr0hs,84,15,"<div style=""font-size: 30px;"">There was an umbrella in her backpack.</div>","<img src=""Images/umbrellahand.jpg""/>",experimental,n,267,547,true,list_2,110292,y,y
0zhjr0hs,87,110,"<div style=""font-size: 30px;"">There was a kettle in the kitchen.</div>","<img src=""Images/measuringtape.jpg""/>",filler,,274,550,true,list_2,111894,n,n
0zhjr0hs,90,37,"<div style=""font-size: 30px;"">There was tinfoil in the garbage.</div>","<img src=""Images/foil.jpg""/>",experimental,n,300,603,true,list_2,113565,y,y
0zhjr0hs,93,92,"<div style=""font-size: 30px;"">There was a wrench in the toolbox.</div>","<img src=""Images/tambourine.jpg""/>",filler,,317,767,true,list_2,115417,n,n
0zhjr0hs,96,14,"<div style=""font-size: 30px;"">There was a zodiac in the ocean.</div>","<img src=""Images/zodiacdeflated.jpg""/>",experimental,n,547,529,false,list_2,117260,y,n
0zhjr0hs,99,88,"<div style=""font-size: 30px;"">There was a pot on the stove.</div>","<img src=""Images/rose.jpg""/>",filler,,396,1282,true,list_2,119700,n,n
0zhjr0hs,102,1,"<div style=""font-size: 30px;"">There was corn in the field.</div>","<img src=""Images/cornpieces.jpg""/>",experimental,n,354,562,true,list_2,121373,y,y
0zhjr0hs,105,17,"<div style=""font-size: 30px;"">There was a walnut on the brownie.</div>","<img src=""Images/walnutpiece.jpg""/>",experimental,y,317,1044,true,list_2,123507,y,y
0zhjr0hs,108,66,"<div style=""font-size: 30px;"">There was a pen in her satchel.</div>","<img src=""Images/dice.jpg""/>",filler,,254,497,true,list_2,125023,n,n
0zhjr0hs,111,52,"<div style=""font-size: 30px;"">There was a map on the wall.</div>","<img src=""Images/mapwall.jpg""/>",experimental,y,293,590,true,list_2,126674,y,y
0zhjr0hs,114,33,"<div style=""font-size: 30px;"">There was spaghetti in the bowl.</div>","<img src=""Images/spaghettibox.jpg""/>",experimental,n,337,624,false,list_2,128396,y,n
0zhjr0hs,117,38,"<div style=""font-size: 30px;"">There was carrot in the curry.</div>","<img src=""Images/carrot.jpg""/>",experimental,n,336,600,true,list_2,130097,y,y
0zhjr0hs,120,105,"<div style=""font-size: 30px;"">There was a whistle in the gym.</div>","<img src=""Images/safetypin.jpg""/>",filler,,348,519,true,list_2,131737,n,n
0zhjr0hs,123,94,"<div style=""font-size: 30px;"">There was chimney on the roof.</div>","<img src=""Images/fountain.jpg""/>",filler,,443,503,true,list_2,133444,n,n
0zhjr0hs,126,95,"<div style=""font-size: 30px;"">There was a mug on the coaster.</div>","<img src=""Images/grater.jpg""/>",filler,,306,519,true,list_2,135037,n,n
0zhjr0hs,129,42,"<div style=""font-size: 30px;"">There was cucumber in the salad.</div>","<img src=""Images/cucumbersliced.jpg""/>",experimental,n,257,615,true,list_2,136671,y,y
0zhjr0hs,132,63,"<div style=""font-size: 30px;"">There was a tree on the trail.</div>","<img src=""Images/mussel.jpg""/>",filler,,301,664,true,list_2,138398,n,n
0zhjr0hs,135,119,"<div style=""font-size: 30px;"">There was a guitar on the stage.</div>","<img src=""Images/candle.jpg""/>",filler,,288,442,true,list_2,139886,n,n
0zhjr0hs,138,10,"<div style=""font-size: 30px;"">There was a mushroom in the forest.</div>","<img src=""Images/mushroomsliced.jpg""/>",experimental,n,286,603,true,list_2,141536,y,y
0zhjr0hs,141,117,"<div style=""font-size: 30px;"">There was a pitcher in the bar.</div>","<img src=""Images/spraycan.jpg""/>",filler,,258,595,true,list_2,143166,n,n
0zhjr0hs,144,39,"<div style=""font-size: 30px;"">There was banana on the pancake.</div>","<img src=""Images/banana.jpg""/>",experimental,n,306,582,true,list_2,144813,y,y
0zhjr0hs,147,51,"<div style=""font-size: 30px;"">There was wool in the sweater.</div>","<img src=""Images/woolknit.jpg""/>",experimental,y,283,641,true,list_2,146509,y,y
0zhjr0hs,150,103,"<div style=""font-size: 30px;"">There was a flower in the vase.</div>","<img src=""Images/squeegee.jpg""/>",filler,,273,548,true,list_2,148090,n,n
0zhjr0hs,153,77,"<div style=""font-size: 30px;"">There was a lipstick in the purse.</div>","<img src=""Images/castle.jpg""/>",filler,,278,839,true,list_2,149969,n,n
0zhjr0hs,156,13,"<div style=""font-size: 30px;"">There was a staple in the machine.</div>","<img src=""Images/staplepaper.jpg""/>",experimental,n,486,756,true,list_2,151982,y,y
0zhjr0hs,159,47,"<div style=""font-size: 30px;"">There was a horse in the stable.</div>","<img src=""Images/horse.jpg""/>",experimental,y,276,488,false,list_2,153526,y,n
0zhjr0hs,162,54,"<div style=""font-size: 30px;"">There was wheat in the mill.</div>","<img src=""Images/wheatpieces.jpg""/>",experimental,y,555,818,false,list_2,155655,y,n
0zhjr0hs,165,36,"<div style=""font-size: 30px;"">There was an airplane in the sky.</div>","<img src=""Images/airplanewheels.jpg""/>",experimental,n,416,417,true,list_2,157268,y,y
0zhjr0hs,168,41,"<div style=""font-size: 30px;"">There was tape on the package.</div>","<img src=""Images/taperoll.jpg""/>",experimental,n,271,482,true,list_2,158792,y,y
0zhjr0hs,171,46,"<div style=""font-size: 30px;"">There was a newspaper on the driveway.</div>","<img src=""Images/newspaper.jpg""/>",experimental,y,232,458,true,list_2,160256,y,y
0zhjr0hs,174,78,"<div style=""font-size: 30px;"">There was fire on campus.</div>","<img src=""Images/papaya.jpg""/>",filler,,214,489,true,list_2,161727,n,n
0zhjr0hs,177,12,"<div style=""font-size: 30px;"">There was a shirt on the hanger.</div>","<img src=""Images/shirtfolded.jpg""/>",experimental,n,118,456,true,list_2,163072,y,y
0zhjr0hs,180,75,"<div style=""font-size: 30px;"">There was a statue in the park.</div>","<img src=""Images/button.jpg""/>",filler,,248,783,true,list_2,164858,n,n
0zhjr0hs,183,2,"<div style=""font-size: 30px;"">There was apple pie on the table.</div>","<img src=""Images/applepieslice.jpg""/>",experimental,n,264,392,true,list_2,166280,y,y
0zhjr0hs,186,109,"<div style=""font-size: 30px;"">There was a chessboard in the classroom.</div>","<img src=""Images/bridge.jpg""/>",filler,,410,450,true,list_2,167901,n,n
0zhjr0hs,189,7,"<div style=""font-size: 30px;"">There was a lamp on the floor.</div>","<img src=""Images/lamptable.jpg""/>",experimental,n,368,565,true,list_2,169592,y,y
0zhjr0hs,192,100,"<div style=""font-size: 30px;"">There was a carriage on the highway.</div>","<img src=""Images/orange.jpg""/>",filler,,277,384,true,list_2,171020,n,n
0zhjr0hs,195,25,"<div style=""font-size: 30px;"">There was a pumpkin on the porch.</div>","<img src=""Images/pumpkinface.jpg""/>",experimental,y,473,459,false,list_2,172714,y,n
0zhjr0hs,198,23,"<div style=""font-size: 30px;"">There was a hockey player on the bench.</div>","<img src=""Images/hockeyplayerbench.jpg""/>",experimental,y,214,451,true,list_2,174149,y,y
0zhjr0hs,201,40,"<div style=""font-size: 30px;"">There was a goose in the sky.</div>","<img src=""Images/gooseland.jpg""/>",experimental,n,338,434,true,list_2,175693,y,y
0zhjr0hs,204,69,"<div style=""font-size: 30px;"">There was a bush in the meadow.</div>","<img src=""Images/hairpin.jpg""/>",filler,,226,445,true,list_2,177129,n,n
0zhjr0hs,207,53,"<div style=""font-size: 30px;"">There was onion in the batter.</div>","<img src=""Images/onionslice.jpg""/>",experimental,y,238,597,true,list_2,178737,y,y
0zhjr0hs,210,26,"<div style=""font-size: 30px;"">There was a garbage bag in the dumpster.</div>","<img src=""Images/garbagebagfull.jpg""/>",experimental,y,1013,457,true,list_2,180970,y,y
0zhjr0hs,213,49,"<div style=""font-size: 30px;"">There was an apple in the bowl.</div>","<img src=""Images/apple.jpg""/>",experimental,y,348,352,true,list_2,182430,y,y
0zhjr0hs,216,112,"<div style=""font-size: 30px;"">There was a mayonnaise in the sandwich.</div>","<img src=""Images/tweezers.jpg""/>",filler,,290,613,true,list_2,184102,n,n
0zhjr0hs,219,5,"<div style=""font-size: 30px;"">There was a tomato on the vine.</div>","<img src=""Images/tomatoslice.jpg""/>",experimental,n,364,407,true,list_2,185635,y,y
0zhjr0hs,222,93,"<div style=""font-size: 30px;"">There was a goat in the distance.</div>","<img src=""Images/dandelion.jpg""/>",filler,,289,489,true,list_2,187174,n,n
0zhjr0hs,225,82,"<div style=""font-size: 30px;"">There was an ornament on the skirt.</div>","<img src=""Images/eraser.jpg""/>",filler,,227,717,true,list_2,188879,n,n
0zhjr0hs,228,59,"<div style=""font-size: 30px;"">There was an egg on the pan.</div>","<img src=""Images/eggpan.jpg""/>",experimental,y,102,522,true,list_2,190265,y,y
0zhjr0hs,231,58,"<div style=""font-size: 30px;"">There was watermelon in the bowl.</div>","<img src=""Images/watermelonslice.jpg""/>",experimental,y,98,431,false,list_2,191557,y,n
0zhjr0hs,234,73,"<div style=""font-size: 30px;"">There was a polar bear in the snow.</div>","<img src=""Images/truck.jpg""/>",filler,,252,962,true,list_2,193544,n,n
0zhjr0hs,237,81,"<div style=""font-size: 30px;"">There was a mannequin in the shop.</div>","<img src=""Images/axe.jpg""/>",filler,,295,624,true,list_2,195236,n,n
0zhjr0hs,240,113,"<div style=""font-size: 30px;"">There was a head on the neck.</div>","<img src=""Images/pinecone.jpg""/>",filler,,499,490,true,list_2,196988,n,n
0zhjr0hs,243,44,"<div style=""font-size: 30px;"">There was a cigarette in the ashtray.</div>","<img src=""Images/cigarette.jpg""/>",experimental,n,305,358,true,list_2,198413,y,y
0zhjr0hs,246,65,"<div style=""font-size: 30px;"">There was a doll on the bench.</div>","<img src=""Images/crate.jpg""/>",filler,,324,393,true,list_2,199896,n,n
0zhjr0hs,249,61,"<div style=""font-size: 30px;"">There was a monkey on the beach.</div>","<img src=""Images/pawn.jpg""/>",filler,,329,424,true,list_2,201423,n,n
0zhjr0hs,252,16,"<div style=""font-size: 30px;"">There was a shoelace in the sneaker.</div>","<img src=""Images/shoelacetied.jpg""/>",experimental,y,412,512,true,list_2,203107,y,y
0zhjr0hs,255,89,"<div style=""font-size: 30px;"">There was a snake in the grass.</div>","<img src=""Images/plunger.jpg""/>",filler,,602,369,true,list_2,204846,n,n
0zhjr0hs,258,72,"<div style=""font-size: 30px;"">There was a pencil in the cup.</div>","<img src=""Images/hairdryer.jpg""/>",filler,,331,509,true,list_2,206458,n,n
0zhjr0hs,261,90,"<div style=""font-size: 30px;"">There was raddish in the dish.</div>","<img src=""Images/qtip.jpg""/>",filler,,706,460,true,list_2,208391,n,n
0zhjr0hs,264,56,"<div style=""font-size: 30px;"">There was soap in the bath.</div>","<img src=""Images/soaplather.jpg""/>",experimental,y,282,555,true,list_2,210001,y,y
0zhjr0hs,267,4,"<div style=""font-size: 30px;"">There was an owl in the barn.</div>","<img src=""Images/owlsky.jpg""/>",experimental,n,246,428,true,list_2,211456,y,y
0zhjr0hs,270,19,"<div style=""font-size: 30px;"">There was a swiss knife in his hand.</div>","<img src=""Images/swissknife.jpg""/>",experimental,y,302,492,true,list_2,213011,y,y
0zhjr0hs,273,86,"<div style=""font-size: 30px;"">There was a chair in the bedroom.</div>","<img src=""Images/cauliflower.jpg""/>",filler,,199,487,true,list_2,214478,n,n
0zhjr0hs,276,8,"<div style=""font-size: 30px;"">There was a sailboat on the trailer.</div>","<img src=""Images/boat.jpg""/>",experimental,n,341,493,true,list_2,216083,y,y
0zhjr0hs,279,34,"<div style=""font-size: 30px;"">There was a coat on the floor.</div>","<img src=""Images/coatrack.jpg""/>",experimental,n,230,489,true,list_2,217562,y,y
0zhjr0hs,282,28,"<div style=""font-size: 30px;"">There was an avocado in the dish.</div>","<img src=""Images/avocadosliced.jpg""/>",experimental,y,403,586,true,list_2,219307,y,y
0zhjr0hs,285,111,"<div style=""font-size: 30px;"">There was a blanket in the armchair.</div>","<img src=""Images/pan.jpg""/>",filler,,410,538,true,list_2,221017,n,n
0zhjr0hs,288,101,"<div style=""font-size: 30px;"">There was salt on the table.</div>","<img src=""Images/shed.jpg""/>",filler,,364,550,true,list_2,222691,n,n
0zhjr0hs,291,106,"<div style=""font-size: 30px;"">There was a hippo in the zoo.</div>","<img src=""Images/crane.jpg""/>",filler,,305,591,true,list_2,224360,n,n
0zhjr0hs,294,3,"<div style=""font-size: 30px;"">There was a towel on the floor.</div>","<img src=""Images/towelhanging.jpg""/>",experimental,n,311,407,true,list_2,225850,y,y
0zhjr0hs,297,55,"<div style=""font-size: 30px;"">There was lemon in the drink.</div>","<img src=""Images/lemonslice.jpg""/>",experimental,y,364,729,true,list_2,227707,y,y
0zhjr0hs,300,85,"<div style=""font-size: 30px;"">There was a cactus in the pot.</div>","<img src=""Images/closet.jpg""/>",filler,,419,562,true,list_2,229465,n,n
0zhjr0hs,303,9,"<div style=""font-size: 30px;"">There was a squid in the water.</div>","<img src=""Images/squidcooked.jpg""/>",experimental,n,441,1834,true,list_2,232508,y,y
0zhjr0hs,306,80,"<div style=""font-size: 30px;"">There was a hammer in the basement.</div>","<img src=""Images/cow.jpg""/>",filler,,266,491,true,list_2,234037,n,n
0zhjr0hs,309,11,"<div style=""font-size: 30px;"">There was ice in the glass.</div>","<img src=""Images/icicles.jpg""/>",experimental,n,273,820,true,list_2,235887,y,y
0zhjr0hs,312,32,"<div style=""font-size: 30px;"">There was a match in the ashtray.</div>","<img src=""Images/match.jpg""/>",experimental,n,307,441,true,list_2,237402,y,y
0zhjr0hs,315,68,"<div style=""font-size: 30px;"">There was a tent in the shadow.</div>","<img src=""Images/peanut.jpg""/>",filler,,576,443,true,list_2,239188,n,n
0zhjr0hs,318,62,"<div style=""font-size: 30px;"">There was a tiger in the steppe.</div>","<img src=""Images/elephant.jpg""/>",filler,,259,587,true,list_2,240805,n,n
0zhjr0hs,321,31,"<div style=""font-size: 30px;"">There was a balloon in the air.</div>","<img src=""Images/balloondeflated.jpg""/>",experimental,n,289,739,true,list_2,242610,y,y
0zhjr0hs,324,18,"<div style=""font-size: 30px;"">There was cheesecake for the guest.</div>","<img src=""Images/cheesecakeslice.jpg""/>",experimental,y,314,529,true,list_2,244226,y,y
0zhjr0hs,327,114,"<div style=""font-size: 30px;"">There was a skier in the mountain.</div>","<img src=""Images/mangocut.jpg""/>",filler,,367,611,true,list_2,245965,n,n
0zhjr0hs,330,79,"<div style=""font-size: 30px;"">There was a pepper in the pastry.</div>","<img src=""Images/padlock.jpg""/>",filler,,460,503,true,list_2,247703,n,n
0zhjr0hs,333,115,"<div style=""font-size: 30px;"">There was a lounge in the garden.</div>","<img src=""Images/racquetballracket.jpg""/>",filler,,359,509,true,list_2,249339,n,n
0zhjr0hs,336,45,"<div style=""font-size: 30px;"">There was sugar on the spoon.</div>","<img src=""Images/sugardispenser.jpg""/>",experimental,n,531,689,true,list_2,251333,y,y
0zhjr0hs,339,74,"<div style=""font-size: 30px;"">There was a calculator on the desk.</div>","<img src=""Images/comb.jpg""/>",filler,,353,523,true,list_2,252972,n,n
0zhjr0hs,342,84,"<div style=""font-size: 30px;"">There was a surfboard in the river.</div>","<img src=""Images/cookinggrill.jpg""/>",filler,,511,582,true,list_2,254836,n,n
0zhjr0hs,345,27,"<div style=""font-size: 30px;"">There was an eagle in the sky.</div>","<img src=""Images/eaglesky.jpg""/>",experimental,y,542,486,true,list_2,256632,y,y
0zhjr0hs,348,50,"<div style=""font-size: 30px;"">There was pineapple on the skewer.</div>","<img src=""Images/pineapplechunk.jpg""/>",experimental,y,592,614,true,list_2,258609,y,y
0zhjr0hs,351,116,"<div style=""font-size: 30px;"">There was a seal in the cove.</div>","<img src=""Images/brush.jpg""/>",filler,,377,506,true,list_2,260258,n,n
0zhjr0hs,354,20,"<div style=""font-size: 30px;"">There was a lobster in the salad.</div>","<img src=""Images/lobstermeat.jpg""/>",experimental,y,412,762,true,list_2,262206,y,y
0zhjr0hs,357,71,"<div style=""font-size: 30px;"">There was a skateboard on the ground.</div>","<img src=""Images/bus.jpg""/>",filler,,863,461,true,list_2,264293,n,n
0zhjr0hs,360,118,"<div style=""font-size: 30px;"">There was a dart in his hand.</div>","<img src=""Images/cheesslice.jpg""/>",filler,,472,443,true,list_2,265980,n,n
0zhjr0hs,363,60,"<div style=""font-size: 30px;"">There was a frog in the pool.</div>","<img src=""Images/frogswim.jpg""/>",experimental,y,400,441,false,list_2,267592,y,n
cxxat1fj,6,84,"<div style=""font-size: 30px;"">There was a surfboard in the river.</div>","<img src=""Images/cookinggrill.jpg""/>",filler,,3451,959,true,list_2,101185,n,n
cxxat1fj,9,102,"<div style=""font-size: 30px;"">There was a cork in the bottle.</div>","<img src=""Images/clock.jpg""/>",filler,,1839,713,true,list_2,104495,n,n
cxxat1fj,12,24,"<div style=""font-size: 30px;"">There was a scarf on the floor.</div>","<img src=""Images/scarf.jpg""/>",experimental,y,1593,1088,true,list_2,107946,y,y
cxxat1fj,15,7,"<div style=""font-size: 30px;"">There was a lamp on the floor.</div>","<img src=""Images/lamptable.jpg""/>",experimental,n,1569,864,true,list_2,111134,y,y
cxxat1fj,18,4,"<div style=""font-size: 30px;"">There was an owl in the barn.</div>","<img src=""Images/owlsky.jpg""/>",experimental,n,1709,647,true,list_2,114260,y,y
cxxat1fj,21,25,"<div style=""font-size: 30px;"">There was a pumpkin on the porch.</div>","<img src=""Images/pumpkinface.jpg""/>",experimental,y,1406,974,true,list_2,117417,y,y
cxxat1fj,24,78,"<div style=""font-size: 30px;"">There was fire on campus.</div>","<img src=""Images/papaya.jpg""/>",filler,,1254,674,true,list_2,120114,n,n
cxxat1fj,27,104,"<div style=""font-size: 30px;"">There was a deck in the boardgame.</div>","<img src=""Images/church.jpg""/>",filler,,1549,1161,true,list_2,123589,n,n
cxxat1fj,30,91,"<div style=""font-size: 30px;"">There was football in the stadium.</div>","<img src=""Images/apartment.jpg""/>",filler,,1487,715,true,list_2,126554,n,n
cxxat1fj,33,46,"<div style=""font-size: 30px;"">There was a newspaper on the driveway.</div>","<img src=""Images/newspaper.jpg""/>",experimental,y,1388,658,true,list_2,129371,y,y
cxxat1fj,36,103,"<div style=""font-size: 30px;"">There was a flower in the vase.</div>","<img src=""Images/squeegee.jpg""/>",filler,,1386,654,true,list_2,132188,n,n
cxxat1fj,39,55,"<div style=""font-size: 30px;"">There was lemon in the drink.</div>","<img src=""Images/lemonslice.jpg""/>",experimental,y,955,631,true,list_2,134554,y,y
cxxat1fj,42,75,"<div style=""font-size: 30px;"">There was a statue in the park.</div>","<img src=""Images/button.jpg""/>",filler,,1460,740,true,list_2,137518,n,n
cxxat1fj,45,53,"<div style=""font-size: 30px;"">There was onion in the batter.</div>","<img src=""Images/onionslice.jpg""/>",experimental,y,1011,1521,true,list_2,140819,y,y
cxxat1fj,48,94,"<div style=""font-size: 30px;"">There was chimney on the roof.</div>","<img src=""Images/fountain.jpg""/>",filler,,1044,733,true,list_2,143367,n,n
cxxat1fj,51,114,"<div style=""font-size: 30px;"">There was a skier in the mountain.</div>","<img src=""Images/mangocut.jpg""/>",filler,,1465,714,true,list_2,146298,n,n
cxxat1fj,54,33,"<div style=""font-size: 30px;"">There was spaghetti in the bowl.</div>","<img src=""Images/spaghettibox.jpg""/>",experimental,n,1237,591,true,list_2,148892,y,y
cxxat1fj,57,106,"<div style=""font-size: 30px;"">There was a hippo in the zoo.</div>","<img src=""Images/crane.jpg""/>",filler,,765,781,true,list_2,151204,n,n
cxxat1fj,60,6,"<div style=""font-size: 30px;"">There was a book on the shelf.</div>","<img src=""Images/bookdown.jpg""/>",experimental,n,1094,620,true,list_2,153683,y,y
cxxat1fj,63,48,"<div style=""font-size: 30px;"">There was ketchup on the table.</div>","<img src=""Images/ketchupbottle.jpg""/>",experimental,y,1199,1517,true,list_2,157168,y,y
cxxat1fj,66,16,"<div style=""font-size: 30px;"">There was a shoelace in the sneaker.</div>","<img src=""Images/shoelacetied.jpg""/>",experimental,y,1648,683,true,list_2,160267,y,y
cxxat1fj,69,107,"<div style=""font-size: 30px;"">There was a mouse in the trap.</div>","<img src=""Images/wateringcan.jpg""/>",filler,,917,562,true,list_2,162506,n,n
cxxat1fj,72,67,"<div style=""font-size: 30px;"">There was a hill in the village.</div>","<img src=""Images/scissors.jpg""/>",filler,,1197,803,true,list_2,165278,n,n
cxxat1fj,75,85,"<div style=""font-size: 30px;"">There was a cactus in the pot.</div>","<img src=""Images/closet.jpg""/>",filler,,1679,534,false,list_2,168256,n,y
cxxat1fj,78,97,"<div style=""font-size: 30px;"">There was a pyramid by the museum.</div>","<img src=""Images/couch.jpg""/>",filler,,1911,841,true,list_2,171782,n,n
cxxat1fj,81,45,"<div style=""font-size: 30px;"">There was sugar on the spoon.</div>","<img src=""Images/sugardispenser.jpg""/>",experimental,n,1487,830,true,list_2,174874,y,y
cxxat1fj,84,3,"<div style=""font-size: 30px;"">There was a towel on the floor.</div>","<img src=""Images/towelhanging.jpg""/>",experimental,n,2193,1473,true,list_2,179308,y,y
cxxat1fj,87,61,"<div style=""font-size: 30px;"">There was a monkey on the beach.</div>","<img src=""Images/pawn.jpg""/>",filler,,1017,739,true,list_2,181831,n,n
cxxat1fj,90,38,"<div style=""font-size: 30px;"">There was carrot in the curry.</div>","<img src=""Images/carrot.jpg""/>",experimental,n,1163,718,true,list_2,184476,y,y
cxxat1fj,93,34,"<div style=""font-size: 30px;"">There was a coat on the floor.</div>","<img src=""Images/coatrack.jpg""/>",experimental,n,1112,1090,true,list_2,187436,y,y
cxxat1fj,96,58,"<div style=""font-size: 30px;"">There was watermelon in the bowl.</div>","<img src=""Images/watermelonslice.jpg""/>",experimental,y,1473,677,true,list_2,190364,y,y
cxxat1fj,99,86,"<div style=""font-size: 30px;"">There was a chair in the bedroom.</div>","<img src=""Images/cauliflower.jpg""/>",filler,,1159,709,true,list_2,193004,n,n
cxxat1fj,102,74,"<div style=""font-size: 30px;"">There was a calculator on the desk.</div>","<img src=""Images/comb.jpg""/>",filler,,1222,655,true,list_2,195648,n,n
cxxat1fj,105,30,"<div style=""font-size: 30px;"">There was a tissue in the trashcan.</div>","<img src=""Images/tissuecrumpled.jpg""/>",experimental,y,1266,680,true,list_2,198372,y,y
cxxat1fj,108,2,"<div style=""font-size: 30px;"">There was apple pie on the table.</div>","<img src=""Images/applepieslice.jpg""/>",experimental,n,1329,708,true,list_2,201169,y,y
cxxat1fj,111,65,"<div style=""font-size: 30px;"">There was a doll on the bench.</div>","<img src=""Images/crate.jpg""/>",filler,,950,797,true,list_2,203691,n,n
cxxat1fj,114,29,"<div style=""font-size: 30px;"">There was paint in the drawing.</div>","<img src=""Images/paintstroke.jpg""/>",experimental,y,1152,741,true,list_2,206348,y,y
cxxat1fj,117,42,"<div style=""font-size: 30px;"">There was cucumber in the salad.</div>","<img src=""Images/cucumbersliced.jpg""/>",experimental,n,1359,556,true,list_2,209030,y,y
cxxat1fj,120,26,"<div style=""font-size: 30px;"">There was a garbage bag in the dumpster.</div>","<img src=""Images/garbagebagfull.jpg""/>",experimental,y,1620,502,true,list_2,211914,y,y
cxxat1fj,123,111,"<div style=""font-size: 30px;"">There was a blanket in the armchair.</div>","<img src=""Images/pan.jpg""/>",filler,,3463,2094,true,list_2,218240,n,n
cxxat1fj,126,64,"<div style=""font-size: 30px;"">There was a battery in the phone.</div>","<img src=""Images/screw.jpg""/>",filler,,1241,650,true,list_2,220905,n,n
